Dt,Predicted_Transaction_Count
2024-10-05 00:00:00,203.6984277870506
2024-10-05 01:00:00,201.9043974224478
2024-10-05 02:00:00,224.48203951865435
2024-10-05 03:00:00,238.08046297729018
2024-10-05 04:00:00,215.00452074222267
2024-10-05 05:00:00,181.25184237398207
2024-10-05 06:00:00,182.93579711392522
2024-10-05 07:00:00,224.6632259450853
2024-10-05 08:00:00,283.91193671151996
2024-10-05 09:00:00,344.9159378167242
2024-10-05 10:00:00,385.3531064838171
2024-10-05 11:00:00,427.1665576547384
2024-10-05 12:00:00,464.20367086306214
2024-10-05 13:00:00,462.060230942443
2024-10-05 14:00:00,451.1065448373556
2024-10-05 15:00:00,448.8339964747429
2024-10-05 16:00:00,457.3219586145133
2024-10-05 17:00:00,478.7953975759447
2024-10-05 18:00:00,459.0379844009876
2024-10-05 19:00:00,389.2464416138828
2024-10-05 20:00:00,322.7729033604264
2024-10-05 21:00:00,261.65103366598487
2024-10-05 22:00:00,216.57667641341686
2024-10-05 23:00:00,182.53003842942417
2024-10-06 00:00:00,157.6381106507033
2024-10-06 01:00:00,162.28474071249366
2024-10-06 02:00:00,188.3720642980188
2024-10-06 03:00:00,202.5536862500012
2024-10-06 04:00:00,179.24890061281621
2024-10-06 05:00:00,147.77086871303618
2024-10-06 06:00:00,154.07620131224394
2024-10-06 07:00:00,198.34803307801485
2024-10-06 08:00:00,255.52321580797437
2024-10-06 09:00:00,307.3685352932662
2024-10-06 10:00:00,337.1157048009336
2024-10-06 11:00:00,370.1664918307215
2024-10-06 12:00:00,403.2636619862169
2024-10-06 13:00:00,396.5115827061236
2024-10-06 14:00:00,382.96636121720076
2024-10-06 15:00:00,385.73046580702066
2024-10-06 16:00:00,403.0131631344557
2024-10-06 17:00:00,432.169041454792
2024-10-06 18:00:00,419.70059785991907
2024-10-06 19:00:00,357.2282973229885
2024-10-06 20:00:00,294.89836825430393
2024-10-06 21:00:00,228.93886593356729
2024-10-06 22:00:00,175.3071591835469
2024-10-06 23:00:00,131.83478067815304
2024-10-07 00:00:00,104.34899461269379
2024-10-07 01:00:00,104.50155688077211
2024-10-07 02:00:00,123.37311979383232
2024-10-07 03:00:00,139.17095763981342
2024-10-07 04:00:00,124.28129989653827
2024-10-07 05:00:00,106.44635113701224
2024-10-07 06:00:00,118.42863363400103
2024-10-07 07:00:00,166.2089479714632
2024-10-07 08:00:00,225.40190906822681
2024-10-07 09:00:00,279.1715662777424
2024-10-07 10:00:00,311.6034870147705
2024-10-07 11:00:00,347.0692688077688
2024-10-07 12:00:00,384.91632580570877
2024-10-07 13:00:00,384.6985723916441
2024-10-07 14:00:00,371.9580494277179
2024-10-07 15:00:00,366.7956599891186
2024-10-07 16:00:00,379.0551921874285
2024-10-07 17:00:00,409.86804960109293
2024-10-07 18:00:00,401.2516534104943
2024-10-07 19:00:00,343.63392021134496
2024-10-07 20:00:00,285.3687714934349
2024-10-07 21:00:00,225.9763404764235
2024-10-07 22:00:00,178.98483900539577
2024-10-07 23:00:00,140.61160703375936
2024-10-08 00:00:00,115.79790863022208
2024-10-08 01:00:00,117.1947975307703
2024-10-08 02:00:00,138.00860700011253
2024-10-08 03:00:00,154.80963917076588
2024-10-08 04:00:00,139.06230572983623
2024-10-08 05:00:00,116.56656469404697
2024-10-08 06:00:00,126.46872510761024
2024-10-08 07:00:00,173.75508538261056
2024-10-08 08:00:00,233.6957214847207
2024-10-08 09:00:00,283.67215318605304
2024-10-08 10:00:00,310.4526759572327
2024-10-08 11:00:00,342.8319192510098
2024-10-08 12:00:00,378.47761362046003
2024-10-08 13:00:00,373.5854302421212
2024-10-08 14:00:00,356.79653711244464
2024-10-08 15:00:00,354.4844244681299
2024-10-08 16:00:00,369.10777263343334
2024-10-08 17:00:00,400.3452716842294
2024-10-08 18:00:00,392.77815321460366
2024-10-08 19:00:00,335.82357132807374
2024-10-08 20:00:00,280.43177856877446
2024-10-08 21:00:00,225.6022032443434
2024-10-08 22:00:00,185.29586646333337
2024-10-08 23:00:00,152.21787898987532
2024-10-09 00:00:00,128.5155022945255
2024-10-09 01:00:00,129.3830690626055
2024-10-09 02:00:00,146.75576014444232
2024-10-09 03:00:00,152.87908206135035
2024-10-09 04:00:00,127.99592136777939
2024-10-09 05:00:00,103.34849785268307
2024-10-09 06:00:00,109.54660225659609
2024-10-09 07:00:00,151.59908762946725
2024-10-09 08:00:00,214.97597151622176
2024-10-09 09:00:00,273.4483831189573
2024-10-09 10:00:00,306.603550914675
2024-10-09 11:00:00,337.53038043528795
2024-10-09 12:00:00,369.24842065759003
2024-10-09 13:00:00,364.7531539462507
2024-10-09 14:00:00,350.8992861006409
2024-10-09 15:00:00,347.82923271879554
2024-10-09 16:00:00,360.5188766159117
2024-10-09 17:00:00,389.44381342828274
2024-10-09 18:00:00,379.9692170135677
2024-10-09 19:00:00,320.6332849897444
2024-10-09 20:00:00,261.0936868339777
2024-10-09 21:00:00,205.1075306609273
2024-10-09 22:00:00,167.52835682034492
2024-10-09 23:00:00,140.51029849424958
2024-10-10 00:00:00,123.18346601165833
2024-10-10 01:00:00,127.2406781949103
2024-10-10 02:00:00,146.65175404027104
2024-10-10 03:00:00,157.1027189977467
2024-10-10 04:00:00,133.12893732450902
2024-10-10 05:00:00,106.60295975208282
2024-10-10 06:00:00,111.83638506010175
2024-10-10 07:00:00,153.8851238153875
2024-10-10 08:00:00,213.41333225369453
2024-10-10 09:00:00,266.2691145017743
2024-10-10 10:00:00,296.636049490422
2024-10-10 11:00:00,332.333971709013
